name,facebook_uri,hours,images
850DegreesBloor/,850DegreesBloor/,"{'mon_1_open': '16:00', 'mon_1_close': '22:00', 'tue_1_open': '16:00', 'tue_1_close': '22:00', 'wed_1_open': '16:00', 'wed_1_close': '22:00', 'thu_1_open': '16:00', 'thu_1_close': '22:00', 'fri_1_open': '16:00', 'fri_1_close': '22:00', 'sat_1_open': '11:30', 'sat_1_close': '22:00', 'sun_1_open': '11:30', 'sun_1_close': '22:00'}",
"9 Baci",9baci,,
96-Star-Chatter-969542563139965/,96-Star-Chatter-969542563139965/,,https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/12669683_969545109806377_165340860395070407_n.jpg?_nc_cat=0&oh=aa6996d79b7a39eb131f4d1c98866667&oe=5B8AC30B|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/12642689_969544216473133_6599346691488246552_n.jpg?_nc_cat=0&oh=efae3412e6b33be369b8126952d8ee17&oe=5B795587|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/12418019_969544149806473_112842323740456208_n.jpg?_nc_cat=0&oh=0ca0957ff1de6ad3993a04d7a5085ee0&oe=5BC41D52|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/12661958_969544059806482_4942967515056391363_n.jpg?_nc_cat=0&oh=e4e74fd40e3accf819c76b46f3a415d9&oe=5BBAC517|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/12662583_969543533139868_1662305273777869418_n.png?_nc_cat=0&oh=8fab18476076c7a3a5b7c36f7c742c1a&oe=5B806A95
9bars,9barsto,"{'mon_1_open': '07:30', 'mon_1_close': '18:00', 'tue_1_open': '07:30', 'tue_1_close': '18:00', 'wed_1_open': '07:30', 'wed_1_close': '18:00', 'thu_1_open': '07:30', 'thu_1_close': '18:00', 'fri_1_open': '07:30', 'fri_1_close': '18:00'}",
"A Yiddishe Mame",AYiddisheMame,"{'mon_1_open': '12:00', 'mon_1_close': '22:00', 'tue_1_open': '12:00', 'tue_1_close': '22:00', 'wed_1_open': '12:00', 'wed_1_close': '22:00', 'thu_1_open': '12:00', 'thu_1_close': '22:00', 'fri_1_open': '12:00', 'fri_1_close': '23:00', 'sat_1_open': '12:00', 'sat_1_close': '23:00', 'sun_1_open': '12:00', 'sun_1_close': '22:00'}",
"A&W Canada",AWCanadaPetroCanadaEglintonAve,"{'fri_1_close': '00:00', 'sun_1_close': '00:00', 'sat_1_open': '00:00', 'sat_1_close': '00:00', 'mon_1_open': '00:00', 'wed_1_close': '00:00', 'sun_1_open': '00:00', 'thu_1_open': '00:00', 'thu_1_close': '00:00', 'fri_1_open': '00:00', 'tue_1_open': '00:00', 'mon_1_close': '00:00', 'wed_1_open': '00:00', 'tue_1_close': '00:00'}",
"A&W Canada",AWVaughan2267Highway7,,
"A&W Canada",AW-Canada-690434451106690,"{'fri_1_close': '00:00', 'sun_1_close': '00:00', 'sat_1_open': '00:00', 'sat_1_close': '00:00', 'mon_1_open': '00:00', 'wed_1_close': '00:00', 'sun_1_open': '00:00', 'thu_1_open': '00:00', 'thu_1_close': '00:00', 'fri_1_open': '00:00', 'tue_1_open': '00:00', 'mon_1_close': '00:00', 'wed_1_open': '00:00', 'tue_1_close': '00:00'}",
"A1 Autostrada",luigibeccati71,,
A1Sweets/,A1Sweets/,"{'tue_1_open': '11:00', 'tue_1_close': '21:00', 'wed_1_open': '11:00', 'wed_1_close': '21:00', 'thu_1_open': '11:00', 'thu_1_close': '21:00', 'fri_1_open': '11:00', 'fri_1_close': '21:30', 'sat_1_open': '11:00', 'sat_1_close': '21:30', 'sun_1_open': '11:00', 'sun_1_close': '21:00'}",
